[ 2024-11-09 09:07:12,102 ] 18 root - INFO - Initiate the data ingestion
[ 2024-11-09 09:07:13,882 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-11-09 09:07:13,882 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-11-09 09:07:13,882 ] 75 root - INFO - Exporting train and test file path.
[ 2024-11-09 09:07:13,960 ] 84 root - INFO - Exported train and test file path.
[ 2024-11-09 09:07:13,960 ] 20 root - INFO - Data Initiation Completed
[ 2024-11-09 09:07:13,976 ] 24 root - INFO - Initiate the data Validation
[ 2024-11-09 09:07:14,036 ] 32 root - INFO - Required number of columns:2
[ 2024-11-09 09:07:14,036 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-09 09:07:14,036 ] 32 root - INFO - Required number of columns:2
[ 2024-11-09 09:07:14,036 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-09 09:07:14,153 ] 26 root - INFO - data Validation Completed
[ 2024-11-09 09:07:14,153 ] 29 root - INFO - data Transformation started
[ 2024-11-09 09:07:14,153 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-11-09 09:07:14,153 ] 65 root - INFO - Starting data transformation
[ 2024-11-09 09:07:14,169 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-11-09 09:07:14,169 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-11-09 09:07:14,185 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-09 09:07:14,185 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-09 09:07:14,185 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-09 09:07:14,185 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-09 09:07:14,185 ] 33 root - INFO - data Transformation completed
